Algorithm,Key/Curve,Key Generation Time (s),Signing Time (s),Verification Time (s)
ECC,secp192r1,0.01952338218688965,0.0002071857452392578,0.0001723766326904297
ECC,secp256r1,6.175041198730469e-05,3.719329833984375e-05,7.700920104980469e-05
ECC,secp384r1,0.0005548000335693359,0.0005526542663574219,0.0004966259002685547
ECC,secp521r1,0.00014495849609375,0.00020885467529296875,0.0004057884216308594
RSA,1024-bit,0.02641153335571289,0.0003459453582763672,5.698204040527344e-05
RSA,3072-bit,0.2815234661102295,0.0020842552185058594,7.987022399902344e-05
RSA,7680-bit,14.413456916809082,0.03499197959899902,0.0002751350402832031
RSA,15360-bit,83.48455500602722,0.18511724472045898,0.0009748935699462891
